视频弹幕
很喜欢上党玩家的一句话：啊？
神仙打架
我超，好帅的安妮
《打字》
第一吸血鬼不是兔鸟吗？（d）
这就是吃席流打野。等你打完死了，至少把兵线吞了。
受害者视角
说藏话了
我是千珏高低给安妮磕两个
开庭带上你的鼠标垫
应该推线进去杀不然毫无意义
确实厉害
呱？
你完蛋了！
左手急没急我不知道 弹幕有点急 
开庭带上你的鼠标垫
？
你打了个什么玩意
左手吸血鬼，不是knight
啊？
我知道你很急，但是你先别急！
谁知道你打的是啥字啊
有梗，但是太丑了
哈哈哈言出法随
666
这不应该是四只因鼠标垫？
呱？？
按住~号然后右键就只能a人了啊
完了 什么啊
设置的，只将英雄作为目标
这东西鬼看的懂啊
压死上单的最后一个闪现
茶楼放了这么久才杀一次？
可能是点的时候按左上角那个波浪键~，不打塔打人
狮子只因
逆天
神仙打架
笑死吸血鬼急了，你知道左手玩这游戏有多冷静吗
打完大招结束
sg闻着味就来了
左手吸血鬼，一个吸血鬼绝活，不是knight
卧槽这要是我不管对线的哪个已经0-10了
这线要推进去吸血鬼才炸线，这波换了吸血鬼完全不会，有人头有线吃
真激烈啊
绿尸寒
草
等你抗，人头和塔皮都是他一个人的
自信，小兵不打一下确实杀不了
吸血鬼扎线我真绷不住
woc
介猴不卖
你打完字，吸血鬼都到家了，笑死
呱？
吸血鬼也强啊
这里打个越然后信号发个集合塔下就行了吧
一辈子输在打字上
吸血鬼这装备…
人家都说是国服吸血鬼
N
弹幕理解都是顶级的！
有一米八乘两米五的吗？我床大。
666
空降成功，感谢指挥部！
啊？
别装懂哥了还吸血鬼急了
啊？
哈哈哈
相对静止
高分段就是不那么容易杀
这吸血鬼已经玩的非常好了
吸血鬼这个装备为啥伤害这么高啊
国服第一吸血鬼不是兔鸟兰博吗（doge）
攻守互换了
？
吸血鬼伤害好高
回城?你明天带tp这个线你回城起码掉2个塔皮，真以为狮子狗拆塔慢啊
看得出来对面确实超强
呱
越塔单杀
哦哦哦哦哦哦哦
帅
你完蛋了
吸血鬼好拉扯，可惜了
不是太守是左手
快砸他音响
血怎么还在恢复？bug
暴力丹砂
精彩
全是拉扯
高手过招
这个左手比胎弟出名早一些，之前我记得应该是马服rank上过第二，左手吸血鬼右手卡萨丁，不是一个人
这个左手又不是knight，是个吸血鬼绝活
兔鸟？
好帅
狮子狗身上没钱？
千珏r里故意不触发星蚀
打了 打的什么字
←你这么说狮子喵也有近900呢
茶楼被掀翻了
想要这个
？？？？
你打完字游戏都结束了
这波吸血鬼炸线
应该想办法变答辩糕（
这不是狮子狗炸了？
这么臭的线为啥要冒这种险啊，是觉得一定不会被换吗
按·
卧槽，点燃触发盾
再不闪进草了，这波就只能闪换闪
可以调设置，只以英雄为目标
好帅的安妮
打野看你打字那么快以为是小侄子在玩呢
此左手非彼左手
左手 那不是左鸽吗 骗完哥们钱就跑 没钱就回来直播
一千五 没回城，不然这波狮子狗得死
啊？（大力哥）
你那打的字人看得懂吗
说实话吸血鬼有点急了，e闪早了
他为什么不a塔
没用够两年半我不是很认可()
有个键按住可以只选中英雄，具体自己设置
你币有了
国服第一吸血鬼不是我晒哥吗
开庭带上你的鼠标垫
你桌子的更好看
我只能说这波线，上路已经烂了
都是博弈
哥们，这是左手吸血鬼，不是knight，开人上别处开吧
这是gpw 什么304
？？？？？？
波浪键只攻击英雄
开庭带上你的鼠标垫
开庭带着你的b鼠标垫
胎手的那个不是一个人啊，这是左手吸血鬼
左手有点猛啊
按“~”只能选取英雄作为目标
是左手吸血鬼不是knight？
?
精彩
左按5下
？
吓死的！（确信）
？
线都看不懂还是少评价吧
？？？你确定你看得懂线
省流：只因了
介猴不卖
怎么做到打塔后面的人的？我这一般直接A塔上了
指坤为鸭
为什么不用两年半？
？？？
安妮真好
太精彩了
跑车吃了再越塔换呀
？
都是高手，精彩
啊？
确实厉害
啊～
啊
这安妮？！！？！！
吸血鬼这英雄也够离谱的
省流：G
强啊这个吸血鬼
不错
这波两边都拉满，但凡一边菜一点都没法互换
安妮宝贝在世华佗
省流：半道进的茶楼
太大了，塞不进来
看的好爽卧槽
应该是左手弄不出来（doge）
这不是狮子狗炸线吗
你小子
左手？唐手！
你打完字对面都6神了
神仙打架
茶楼！起！
吸血鬼现状……不是绝活哥玩老早被杀穿了
帅
本来是炸了的但是前排兵顶到跑车前面了 炮车没死就亏线了有能吃的没吃到
狮子坤
左手？人人都有左手嘛
狮子喵天生残疾，没法打字doge
这就是高手过招吗
6
吸血鬼：什么b动静
感觉第一次听到这么久的茶楼
欸不是，你不是沒點W嗎？怎麼有強化W呢？(doge
塔之子了属于是
上庭带上你的鼠标垫
好帅的安妮
左手的闪现是真的捏的死
灼烧靠吼 学到了
同款g304么
空降 03：28
你干嘛？唉哟~
丝滑也有GPW的功劳
吸血鬼炸线
他也得看得懂啊
悬崖勒马
我焯，华佗闪现
逆天
900码的W是吧
详略得当
小黑子是吧
你小子
？？
好刺激
?
开庭的时候带上你的鼠标垫
呱？
我焯，o
手游的被动持续时间有那么长就好了（悲
焦灼
高手过招
？？？？？？
这火女！！
两边都好强
+
很喜欢上单玩家的一句话：啊？
居然没有反转，差评！
点火触发星虫
千珏得磕头了
左手不是出了名的死不交闪吗
对了对了，茶楼就对味了
经典先杀帮忙的
？
一坤月
施咒doge
逆天
你打了个什么
你也学咒术
出庭带好这张鼠标垫
1坤月
？？？
呱？
啊？
啊？
啊？
《吗，2W》
你打了什么字
呱？
打野：这狮子狗在BB什么？我到底要不要上？
字打了，打的什么不重要
爷最爱的茶楼
新鲜的
